Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Lake Almanor Peninsula,Plumas,470,154.8,"$38,839 ","$59,583 ","$77,000 "
Lake Almanor West,Plumas,263,115,"$75,154 ","$113,819 ","$113,472 "
Lake Arrowhead,San Bernardino,11255,634.9,"$29,997 ","$64,461 ","$73,135 "
Lake California,Tehama,2851,452.9,"$26,009 ","$52,165 ","$47,414 "
Lake City,Modoc,35,6,"$18,940 ","$37,750 ",[7]
Lake Davis,Plumas,45,8.3,"$16,027 ",[7],[7]
Lake Don Pedro,Mariposa,995,79.2,"$37,353 ","$71,970 ","$86,750 "
Lake Elsinore,Riverside,56243,1466.6,"$21,016 ","$63,303 ","$65,855 "
Lake Forest,Orange,78940,4745.1,"$38,760 ","$92,781 ","$109,426 "
Lakehead,Shasta,493,105,"$19,697 ","$31,136 ","$40,500 "
Lake Hughes,Los Angeles,469,44.1,"$16,426 ","$21,932 ","$43,000 "
Lake Isabella,Kern,3093,142.4,"$17,300 ","$22,726 ","$37,232 "
Lakeland Village,Riverside,11343,1307.4,"$18,725 ","$41,289 ","$45,028 "
Lake Los Angeles,Los Angeles,11948,1226.6,"$15,918 ","$40,227 ","$42,426 "
Lake Mathews,Riverside,5518,346.5,"$27,927 ","$69,011 ","$71,463 "
Lake Nacimiento,San Luis Obispo,2497,241.3,"$36,293 ","$68,516 ","$80,357 "
Lake of the Pines,Nevada,3563,2383.3,"$38,479 ","$75,403 ","$84,271 "
Lake of the Woods,Kern,539,153,"$24,728 ","$33,750 ","$34,219 "
Lakeport,Lake,4746,1552,"$25,590 ","$36,361 ","$46,941 "
Lake Riverside,Riverside,858,119.4,"$20,839 ","$61,484 ","$70,156 "
Lake San Marcos,San Diego,4679,2718.8,"$30,845 ","$43,125 ","$67,927 "
Lake Sherwood,Ventura,1526,482.8,"$120,676 ","$230,000 ",[7]
Lakeside,San Diego,21079,3054.9,"$26,236 ","$62,037 ","$74,608 "
Lakeview,Riverside,1723,528.5,"$16,372 ","$47,383 ","$54,426 "
Lake Wildwood,Nevada,5293,1732,"$35,366 ","$65,427 ","$77,969 "
Lakewood,Los Angeles,80926,8591.8,"$29,981 ","$79,113 ","$88,660 "
La Mesa,San Diego,58239,6414.7,"$30,728 ","$54,630 ","$69,955 "
La Mirada,Los Angeles,49038,6269.2,"$29,467 ","$81,178 ","$90,696 "
Lamont,Kern,16359,3564.1,"$10,475 ","$33,433 ","$31,278 "
Lanare,Fresno,398,197.2,"$10,910 ","$47,875 ","$47,875 "
Lancaster,Los Angeles,159092,1687.1,"$19,703 ","$49,057 ","$54,993 "
La Palma,Orange,15791,8856.4,"$33,524 ","$84,026 ","$90,080 "
La Porte,Plumas,12,2.7,[7],[7],[7]
La Presa,San Diego,34739,6319.6,"$22,135 ","$60,817 ","$66,449 "
La Puente,Los Angeles,40342,11595.9,"$15,509 ","$54,660 ","$55,150 "
La Quinta,Riverside,38774,1103.6,"$39,021 ","$71,074 ","$80,473 "
La Riviera,Sacramento,11529,6231.9,"$27,789 ","$58,694 ","$62,952 "
Larkfield-Wikiup,Sonoma,8831,1663.7,"$37,027 ","$75,230 ","$83,295 "
Larkspur,Marin,12131,4007.6,"$65,707 ","$82,568 ","$115,363 "
La Selva Beach,Santa Cruz,2932,553.5,"$51,592 ","$108,611 ","$105,833 "
Las Flores,Orange,6311,2842.8,"$49,984 ","$121,696 ","$140,000 "
Las Flores,Tehama,154,430.2,"$11,416 ","$27,763 ","$43,958 "
Las Lomas,Monterey,3409,3287.4,"$13,409 ","$68,194 ","$68,352 "
Lathrop,San Joaquin,19163,873.8,"$18,488 ","$63,087 ","$64,136 "
Laton,Fresno,1144,590.6,"$19,300 ","$29,865 ","$29,625 "
La Verne,Los Angeles,31592,3747.6,"$34,778 ","$75,662 ","$95,045 "
La Vina,Madera,436,4316.8,"$8,407 ","$31,900 ","$31,900 "
Lawndale,Los Angeles,33155,16795.8,"$18,145 ","$48,376 ","$50,507 "
Laytonville,Mendocino,1227,228.6,"$15,235 ","$31,190 ","$36,458 "
Lebec,Kern,1333,87,"$17,666 ","$56,324 ","$55,294 "
Lee Vining,Mono,234,44.8,"$9,196 ",[7],[7]
Leggett,Mendocino,54,20,"$18,922 ","$43,571 ",[7]
Le Grand,Merced,1823,1599.1,"$13,865 ","$38,625 ","$38,571 "
Lemon Cove,Tulare,214,256.6,"$17,693 ","$34,875 ","$39,444 "
Lemon Grove,San Diego,25963,6693.2,"$21,915 ","$52,339 ","$57,052 "
Lemon Hill,Sacramento,12767,7847,"$12,076 ","$27,101 ","$27,729 "
Lemoore,Kings,24788,2910.4,"$23,836 ","$52,701 ","$56,775 "
Lemoore Station,Kings,6913,1643.6,"$19,113 ","$44,632 ","$44,412 "
Lennox,Los Angeles,22039,20163.8,"$12,057 ","$36,573 ","$36,126 "
Lenwood,San Bernardino,3153,1424.1,"$16,243 ","$42,727 ","$57,232 "
Leona Valley,Los Angeles,1697,91.3,"$37,427 ","$77,582 ","$79,891 "
Lewiston,Trinity,1480,74,"$24,563 ","$33,929 ","$43,750 "
Lexington Hills,Santa Clara,2367,501.7,"$57,392 ","$125,893 ","$147,188 "
Likely,Modoc,31,23.3,[7],[7],[7]
Lincoln,Placer,44397,2209.6,"$32,182 ","$70,870 ","$79,017 "
Lincoln Village,San Joaquin,3996,5429.3,"$23,073 ","$55,125 ","$60,521 "
Linda,Yuba,18634,2169.5,"$14,131 ","$36,063 ","$37,872 "
Lindcove,Tulare,520,762.5,"$15,402 ","$45,625 ","$43,750 "
Linden,San Joaquin,1948,262.9,"$38,334 ","$87,585 ","$83,125 "
Lindsay,Tulare,12688,4861.3,"$10,678 ","$30,198 ","$30,466 "
Linnell Camp,Tulare,561,4794.9,"$6,902 ","$20,556 ","$21,278 "
Litchfield,Lassen,129,32.7,"$31,985 ","$49,688 ","$43,068 "
Little Grass Valley,Plumas,0,0,[7],[7],[7]
Little River,Mendocino,38,22.7,"$24,705 ",[7],[7]
Littlerock,Los Angeles,2040,1106.9,"$10,711 ","$39,745 ","$39,676 "
Live Oak,Santa Cruz,17494,5394.4,"$31,432 ","$64,957 ","$82,611 "
Live Oak,Sutter,8500,2723.5,"$16,936 ","$42,349 ","$46,758 "
Livermore,Alameda,83901,3122.9,"$42,594 ","$99,683 ","$111,950 "
Livingston,Merced,13461,3660.9,"$13,604 ","$50,674 ","$51,912 "
Lockeford,San Joaquin,3172,380.3,"$25,079 ","$45,698 ","$47,639 "
Lockwood,Monterey,389,35.8,"$36,450 ","$94,615 ","$75,089 "
Lodi,San Joaquin,63158,4619.9,"$23,648 ","$48,662 ","$54,740 "
Lodoga,Colusa,147,43.4,"$31,301 ","$50,000 ","$68,333 "
Loleta,Humboldt,661,311.2,"$22,226 ","$41,094 ","$53,750 "
Loma Linda,San Bernardino,23648,3146.4,"$31,239 ","$58,259 ","$68,223 "
Loma Mar,San Mateo,211,121.6,"$32,991 ","$93,810 ","$117,813 "
Loma Rica,Yuba,2537,137.2,"$27,252 ","$64,615 ","$68,984 "
Lomita,Los Angeles,20539,10747.8,"$28,593 ","$57,245 ","$66,541 "
Lompico,Santa Cruz,900,266.7,"$56,476 ","$72,215 ","$98,500 "
Lompoc,Santa Barbara,43045,3712.7,"$20,151 ","$47,908 ","$51,195 "
London,Tulare,2080,3306.8,"$8,026 ","$24,816 ","$25,577 "
Lone Pine,Inyo,2017,106,"$21,830 ","$31,838 ","$39,167 "
Long Barn,Tuolumne,291,101.1,"$20,712 ","$24,388 ",[7]
Long Beach,Los Angeles,468594,9315.8,"$27,014 ","$52,944 ","$59,710 "
Lookout,Modoc,67,12.6,"$17,072 ","$36,635 ",[7]
Loomis,Placer,6589,906.8,"$33,354 ","$82,813 ","$95,217 "
Los Alamitos,Orange,11598,2883.6,"$36,367 ","$82,258 ","$89,271 "
Los Alamos,Santa Barbara,1166,301.4,"$36,571 ","$62,429 ","$60,625 "
Los Altos,Santa Clara,29762,4597.2,"$84,705 ","$157,500 ","$190,938 "
Los Altos Hills,Santa Clara,8244,923.8,"$123,127 ","$224,271 ",[7]
Los Angeles,Los Angeles,3862210,8240.8,"$28,320 ","$49,682 ","$54,171 "
Los Banos,Merced,36626,3665.2,"$17,160 ","$45,665 ","$46,748 "
Los Berros,San Luis Obispo,908,361.5,"$19,596 ","$60,958 ","$61,979 "
Los Gatos,Santa Clara,30163,2701.3,"$72,050 ","$122,860 ","$157,796 "
Los Molinos,Tehama,2184,995.4,"$18,205 ","$36,466 ","$42,990 "
Los Olivos,Santa Barbara,913,371.3,"$58,133 ","$89,667 ","$129,875 "
Los Osos,San Luis Obispo,14778,1157.9,"$34,229 ","$56,860 ","$72,625 "
Los Ranchos,San Luis Obispo,1676,592.4,"$47,842 ","$96,705 ","$111,296 "
Lost Hills,Kern,2194,395.2,"$8,418 ","$31,875 ","$30,125 "
Lower Lake,Lake,1620,607.4,"$17,614 ","$31,781 ","$54,028 "
Loyalton,Sierra,874,2462,"$21,614 ","$43,000 ","$46,375 "
Loyola,Santa Clara,3463,2399.9,"$98,398 ","$210,882 ","$238,177 "
Lucas Valley-Marinwood,Marin,6168,1077,"$59,579 ","$129,389 ","$145,491 "
Lucerne,Lake,3318,666.5,"$11,901 ","$20,784 ","$35,571 "
Lucerne Valley,San Bernardino,5767,54.6,"$17,984 ","$34,024 ","$46,383 "
Lynwood,Los Angeles,70789,14625.8,"$12,580 ","$41,930 ","$41,332 "
Lytle Creek,San Bernardino,1127,187.3,"$26,927 ","$71,000 ","$81,048 "
Mabie,Plumas,52,14.3,"$42,662 ",[7],[7]
McArthur,Shasta,308,307.7,"$30,152 ","$42,935 ","$44,348 "
McClellan Park,Sacramento,1103,272.9,"$13,962 ","$23,977 ","$24,115 "
McClenney Tract,Tulare,6,9.7,"$7,150 ",[7],[7]
McCloud,Siskiyou,1111,458.7,"$19,429 ","$31,071 ","$50,888 "
Macdoel,Siskiyou,111,750,"$14,183 ","$28,500 ",[7]
McFarland,Kern,12784,4791.6,"$9,518 ","$34,750 ","$33,549 "
McGee Creek,Mono,125,31.2,"$93,233 ","$91,860 ",[7]
McKinleyville,Humboldt,16448,790.9,"$25,701 ","$50,298 ","$60,833 "
McKittrick,Kern,112,42.8,"$20,728 ","$43,000 ","$43,500 "
McSwain,Merced,4531,750.4,"$35,273 ","$98,519 ","$106,736 "
Madera,Madera,62559,3962.2,"$14,460 ","$42,027 ","$43,600 "
Madera Acres,Madera,9653,1326,"$18,180 ","$60,529 ","$61,056 "
Madison,Yolo,526,340.2,"$17,946 ","$51,875 ","$53,393 "
Mad River,Trinity,398,11.5,"$19,148 ","$34,907 ","$46,875 "
Magalia,Butte,11467,818.2,"$20,818 ","$39,514 ","$43,457 "
Malaga,Fresno,935,3412.4,"$10,696 ","$38,350 ","$39,800 "
Malibu,Los Angeles,12830,648.3,"$95,212 ","$130,432 ","$169,241 "
Mammoth Lakes,Mono,8154,327.9,"$27,170 ","$60,984 ","$68,750 "
Manchester,Mendocino,193,73.7,"$16,462 ","$29,118 ","$26,691 "
Manhattan Beach,Los Angeles,35534,9025.7,"$81,787 ","$142,071 ","$177,532 "
Manila,Humboldt,673,1029.1,"$22,212 ","$32,997 ","$51,094 "
Manteca,San Joaquin,70693,3440.6,"$23,806 ","$62,032 ","$67,043 "
Manton,Tehama,341,19.3,"$23,833 ","$31,250 ","$34,750 "
March ARB,Riverside,1129,94.5,"$41,980 ","$68,261 ","$104,013 "
Maricopa,Kern,1158,771,"$17,853 ","$33,750 ","$43,646 "
Marina,Monterey,20198,2273.8,"$24,773 ","$53,828 ","$63,477 "
Marina del Rey,Los Angeles,9157,10647.7,"$71,023 ","$101,860 ","$105,762 "
Marin City,Marin,2958,5508.4,"$25,543 ","$39,872 ","$41,917 "
Mariposa,Mariposa,1524,501.8,"$18,842 ","$34,881 ","$41,422 "
Markleeville,Alpine,268,41,"$33,723 ","$70,511 ","$71,591 "
Martell,Amador,94,40.2,"$28,057 ","$13,508 ",[7]
Martinez,Contra Costa,36876,2919.5,"$39,701 ","$85,736 ","$100,577 "
Marysville,Yuba,12144,3505.8,"$18,146 ","$34,942 ","$45,274 "
Matheny,Tulare,1098,2565.4,"$14,644 ","$31,208 ","$31,250 "
Mather,Sacramento,4806,479.4,"$30,130 ","$86,705 ","$88,452 "
Maxwell,Colusa,1076,500.5,"$19,794 ","$44,625 ","$55,833 "
Mayfair,Fresno,4512,8710.4,"$14,620 ","$40,625 ","$47,278 "
Mayflower Village,Los Angeles,5779,8411.9,"$30,295 ","$72,034 ","$83,885 "
Maywood,Los Angeles,27703,23517,"$11,656 ","$36,492 ","$37,342 "
Meadowbrook,Riverside,3447,502.5,"$13,817 ","$34,815 ","$36,964 "
Meadow Valley,Plumas,435,51.1,"$33,823 ","$51,944 ","$85,500 "
Meadow Vista,Placer,3072,581.7,"$37,474 ","$71,007 ","$87,026 "
Mead Valley,Riverside,19851,1034.1,"$14,010 ","$41,962 ","$44,475 "
Mecca,Riverside,8912,1280.6,"$8,504 ","$26,473 ","$27,265 "
Meiners Oaks,Ventura,3634,2581,"$29,168 ","$70,430 ","$81,154 "
Mendocino,Mendocino,826,366,"$42,196 ","$51,917 ","$104,732 "
Mendota,Fresno,11360,3446.6,"$8,642 ","$25,229 ","$26,250 "
Menifee,Riverside,81658,1757.1,"$23,165 ","$56,671 ","$64,431 "
Menlo Park,San Mateo,32792,3354.7,"$69,802 ","$115,650 ","$156,439 "
Mentone,San Bernardino,9388,1524,"$23,376 ","$55,682 ","$62,476 "
Merced,Merced,80490,3465.5,"$17,623 ","$38,917 ","$43,809 "
Meridian,Sutter,438,82.7,"$28,966 ","$50,000 ","$82,692 "
Mesa,Inyo,442,126.2,"$37,789 ","$82,266 ","$97,500 "
Mesa Verde,Riverside,1004,231.2,"$13,468 ","$37,891 ","$34,583 "
Mesa Vista,Alpine,212,43.5,"$25,200 ","$61,364 ","$79,063 "
Mettler,Kern,88,377.7,"$15,591 ","$42,917 ","$51,250 "
Mexican Colony,Kern,216,6750,"$7,247 ","$17,375 ","$15,500 "
Middletown,Lake,1073,581.9,"$29,725 ","$48,965 ","$100,625 "
Midpines,Mariposa,689,28.1,"$36,067 ","$41,063 ","$40,469 "
Midway City,Orange,9104,15023.1,"$18,658 ","$45,581 ","$51,882 "
Milford,Lassen,116,21.9,"$42,773 ","$64,961 ","$64,961 "
Millbrae,San Mateo,22177,6823.7,"$43,518 ","$91,846 ","$106,051 "
Mill Valley,Marin,14178,2976.7,"$87,627 ","$132,192 ","$167,061 "
Millville,Shasta,861,107,"$26,947 ","$59,375 ","$66,818 "
Milpitas,Santa Clara,69346,5106.1,"$34,237 ","$99,072 ","$102,005 "
Mineral,Tehama,222,5,"$32,623 ","$52,500 ","$70,000 "
Minkler,Fresno,1066,181.8,"$36,435 ","$81,339 ","$128,482 "
Mira Monte,Ventura,7306,1598.7,"$39,022 ","$70,905 ","$96,250 "
Miranda,Humboldt,536,358.8,"$30,378 ","$50,144 ","$36,250 "
Mission Canyon,Santa Barbara,2531,1668.4,"$56,986 ","$112,717 ","$128,438 "
Mission Hills,Santa Barbara,3415,2778.7,"$36,137 ","$81,250 ","$84,119 "
Mission Viejo,Orange,95246,5403.4,"$41,513 ","$98,157 ","$110,723 "
Mi-Wuk Village,Tuolumne,1069,384.8,"$26,306 ","$49,458 ","$63,036 "
Modesto,Stanislaus,205984,4619.8,"$23,034 ","$47,607 ","$55,289 "
Mohawk Vista,Plumas,109,9.1,"$75,039 ","$58,500 ",[7]
Mojave,Kern,4172,71.6,"$15,847 ","$34,500 ","$40,484 "
Mokelumne Hill,Calaveras,635,206.2,"$39,304 ","$62,396 ","$80,250 "
Monmouth,Fresno,184,597.4,"$15,705 ","$34,500 ","$44,861 "
Mono City,Mono,67,12.4,"$11,106 ","$31,500 ",[7]
Mono Vista,Tuolumne,1979,697.8,"$24,568 ","$46,250 ","$49,412 "
Monrovia,Los Angeles,37035,2722.2,"$34,668 ","$72,034 ","$86,034 "
Monson,Tulare,191,388.2,"$14,281 ","$41,667 ","$83,083 "
Montague,Siskiyou,1504,845.9,"$20,433 ","$42,500 ","$54,545 "
Montalvin Manor,Contra Costa,3055,9487.6,"$22,652 ","$64,778 ","$73,864 "
Montara,San Mateo,2880,742.7,"$49,203 ","$147,568 ","$148,273 "
Montclair,San Bernardino,37685,6830.7,"$17,881 ","$48,767 ","$51,184 "
Montebello,Los Angeles,63353,7602.7,"$20,972 ","$47,562 ","$55,720 "
Montecito,Santa Barbara,9444,1010.5,"$83,226 ","$130,129 ","$160,417 "
Monterey,Monterey,28053,3227.5,"$36,812 ","$64,772 ","$80,615 "
Monterey Park,Los Angeles,60966,7950.7,"$24,637 ","$54,821 ","$60,209 "
Monterey Park Tract,Stanislaus,273,5808.5,"$13,645 ","$90,134 ",[7]
Monte Rio,Sonoma,1031,541.5,"$27,032 ","$33,681 ","$63,854 "
Monte Sereno,Santa Clara,3462,2117.4,"$105,597 ","$187,115 ","$238,606 "
Montgomery Creek,Shasta,123,37.8,"$27,628 ","$62,708 ","$62,917 "
Monument Hills,Yolo,1469,364.7,"$47,489 ","$112,344 ","$112,422 "
Moorpark,Ventura,35033,2785,"$37,016 ","$99,353 ","$108,628 "
Morada,San Joaquin,4573,1534,"$35,079 ","$61,270 ","$71,534 "
Moraga,Contra Costa,16549,1748.4,"$60,576 ","$132,651 ","$163,951 "
Moreno Valley,Riverside,198872,3878.5,"$17,874 ","$54,229 ","$55,265 "
Morgan Hill,Santa Clara,39875,3127.7,"$40,972 ","$96,232 ","$108,037 "
Morongo Valley,San Bernardino,3605,142.9,"$21,607 ","$32,295 ","$44,787 "
Morro Bay,San Luis Obispo,10383,1957.9,"$32,613 ","$50,914 ","$66,378 "
Moskowite Corner,Napa,172,61.2,"$20,858 ","$49,286 ","$53,750 "
Moss Beach,San Mateo,3435,1530.7,"$42,240 ","$81,622 ","$107,083 "
Moss Landing,Monterey,200,502.5,"$17,855 ","$30,500 ","$37,857 "
Mountain Center,Riverside,75,39.8,"$10,727 ",[7],[7]
Mountain Gate,Shasta,1153,582.6,"$18,037 ","$33,906 ","$53,750 "
Mountain House,San Joaquin,12088,3785.8,"$29,092 ","$106,119 ","$108,750 "
Mountain Mesa,Kern,454,546.3,"$18,583 ","$38,250 ","$39,313 "
Mountain Ranch,Calaveras,1369,33.2,"$27,714 ","$38,630 ","$57,243 "
Mountain View,Contra Costa,2299,7927.6,"$27,903 ","$43,077 ","$38,400 "
Mountain View,Santa Clara,76741,6398.8,"$56,156 ","$100,028 ","$119,081 "
Mountain View Acres,San Bernardino,3502,2229.2,"$18,119 ","$55,673 ","$56,521 "
Mount Hebron,Siskiyou,88,123.4,"$9,728 ","$25,368 ","$26,397 "
Mount Hermon,Santa Cruz,1027,1575.2,"$31,268 ","$48,549 ","$65,893 "
Mount Laguna,San Diego,12,7.1,[7],[7],[7]
Mount Shasta,Siskiyou,3331,884.5,"$31,179 ","$43,969 ","$66,667 "
Muir Beach,Marin,292,592.3,"$86,269 ","$161,458 ","$178,333 "
Murphys,Calaveras,1884,182.5,"$35,424 ","$46,885 ","$62,330 "
Murrieta,Riverside,106326,3166.3,"$28,719 ","$74,401 ","$79,996 "
Muscoy,San Bernardino,11674,3714.3,"$9,951 ","$35,660 ","$37,012 "
Myers Flat,Humboldt,57,131.9,[7],[7],[7]
Myrtletown,Humboldt,5225,2489.3,"$28,725 ","$61,534 ","$73,558 "
Napa,Napa,78511,4397.1,"$31,185 ","$64,058 ","$74,981 "
National City,San Diego,59543,8180.1,"$17,143 ","$39,517 ","$42,531 "
Needles,San Bernardino,4923,159.7,"$19,001 ","$33,045 ","$42,031 "
Nevada City,Nevada,3051,1394.4,"$35,087 ","$51,685 ","$51,997 "
Newark,Alameda,43635,3144.9,"$31,825 ","$86,521 ","$91,103 "
Newcastle,Placer,1409,589,"$26,616 ","$45,865 ","$71,912 "
New Cuyama,Santa Barbara,591,837.1,"$14,149 ","$34,000 ","$45,625 "
Newell,Modoc,429,178.2,"$6,580 ","$23,182 ","$23,466 "
Newman,Stanislaus,10553,5239.8,"$16,012 ","$43,722 ","$46,780 "
New Pine Creek,Modoc,84,36.8,"$35,398 ","$31,023 ",[7]
Newport Beach,Orange,86594,3641.8,"$78,012 ","$107,991 ","$153,709 "
Nicasio,Marin,95,72.8,"$39,938 ","$96,500 ","$96,000 "
Nice,Lake,2156,1247.7,"$20,164 ","$24,149 ","$36,325 "
Nicolaus,Sutter,205,65.3,"$50,181 ","$85,625 ","$100,417 "
Niland,Imperial,1063,2644.3,"$15,828 ","$17,461 ","$27,854 "
Nipinnawasee,Madera,729,236.3,"$23,511 ","$66,397 ","$66,544 "
Nipomo,San Luis Obispo,17115,1152.3,"$27,705 ","$57,185 ","$68,900 "
Norco,Riverside,27143,1970.2,"$27,702 ","$85,142 ","$96,631 "
Nord,Butte,239,113.5,"$18,961 ","$31,923 ","$76,250 "
Norris Canyon,Contra Costa,1227,346.8,"$59,374 ","$196,726 ","$205,625 "
North Auburn,Placer,14011,1793.8,"$25,077 ","$48,052 ","$60,637 "
North Edwards,Kern,966,75.8,"$21,833 ","$45,658 ","$53,241 "
North El Monte,Los Angeles,3924,9276.6,"$28,164 ","$69,960 ","$75,426 "
North Fair Oaks,San Mateo,15181,12650.8,"$26,426 ","$63,343 ","$53,176 "
North Gate,Contra Costa,417,633.7,"$52,891 ","$96,333 ","$96,250 "
North Highlands,Sacramento,44899,5087.7,"$17,401 ","$40,986 ","$43,243 "
North Lakeport,Lake,2676,696,"$28,998 ","$52,577 ","$60,625 "
North Richmond,Contra Costa,3926,2788.4,"$16,194 ","$35,288 ","$45,703 "
North San Juan,Nevada,281,116,"$14,102 ","$27,417 ","$28,250 "
North Shore,Riverside,3184,284.9,"$9,434 ","$24,853 ","$30,147 "
North Tustin,Orange,25724,3891.1,"$59,863 ","$123,270 ","$140,609 "
Norwalk,Los Angeles,106455,10964.6,"$19,584 ","$60,523 ","$63,688 "
Novato,Marin,53451,1947.7,"$44,724 ","$76,609 ","$97,081 "
Nubieber,Lassen,15,20,"$19,160 ",[7],[7]
Nuevo,Riverside,7345,1084.8,"$19,329 ","$59,464 ","$64,185 "
Oakdale,Stanislaus,21260,3517,"$24,832 ","$53,785 ","$60,861 "
Oak Glen,San Bernardino,694,46.7,"$24,589 ","$66,923 ","$73,750 "
Oak Hills,San Bernardino,10308,422.6,"$26,761 ","$74,257 ","$82,961 "
Oakhurst,Madera,2482,413.9,"$21,563 ","$39,709 ","$46,484 "
Oakland,Alameda,402339,7198.4,"$32,566 ","$52,962 ","$60,472 "
Oakley,Contra Costa,37391,2355.6,"$27,993 ","$78,597 ","$83,803 "
Oak Park,Ventura,14512,2742.8,"$57,470 ","$117,326 ","$134,178 "
Oak Shores,San Luis Obispo,147,29,"$61,129 ","$81,964 ","$86,364 "
Oak View,Ventura,4347,2215.6,"$32,723 ","$72,137 ","$79,375 "
Oakville,Napa,59,43.4,"$9,415 ",[7],[7]
Oasis,Riverside,5807,295.8,"$7,512 ","$24,293 ","$24,148 "
Occidental,Sonoma,1155,232.6,"$54,705 ","$70,172 ","$86,083 "
Oceano,San Luis Obispo,7355,4800.9,"$20,725 ","$48,629 ","$46,545 "
Oceanside,San Diego,171400,4155,"$27,009 ","$58,385 ","$68,203 "
Ocotillo,Imperial,221,25,"$6,672 ","$21,397 ",[7]
Oildale,Kern,33879,5185.8,"$17,773 ","$33,818 ","$35,843 "
Ojai,Ventura,7558,1738.3,"$35,231 ","$60,714 ","$90,000 "
Olancha,Inyo,287,36.6,"$26,673 ","$41,974 ","$94,583 "
Old Fig Garden,Fresno,5186,3139.2,"$41,348 ","$63,358 ","$78,060 "
Old Station,Shasta,52,23.4,"$15,327 ",[7],[7]
Olivehurst,Yuba,13928,1867,"$15,357 ","$43,044 ","$44,394 "
Ontario,San Bernardino,166892,3342.3,"$18,601 ","$54,156 ","$56,017 "
Onyx,Kern,599,52.3,"$16,946 ","$27,991 ","$29,330 "
Orange,Orange,138980,5480.7,"$31,330 ","$77,086 ","$85,123 "
Orange Cove,Fresno,9473,5286.3,"$9,734 ","$27,450 ","$27,868 "
Orangevale,Sacramento,34449,2991.4,"$31,241 ","$65,288 ","$80,068 "
Orcutt,Santa Barbara,30266,2720.5,"$32,246 ","$71,830 ","$81,016 "
Orick,Humboldt,281,59.2,"$34,279 ","$32,656 ","$49,583 "
Orinda,Contra Costa,18390,1430.8,"$84,985 ","$166,866 ","$213,021 "
Orland,Glenn,7451,2557,"$16,179 ","$38,425 ","$45,858 "
Orosi,Tulare,8620,3524.1,"$10,342 ","$34,464 ","$33,819 "
Oroville,Butte,16015,1209.9,"$18,777 ","$36,581 ","$42,551 "
Oroville East,Butte,8782,400.4,"$24,851 ","$52,944 ","$67,920 "
Oxnard,Ventura,201744,7499.5,"$20,651 ","$62,349 ","$62,165 "
Pacheco,Contra Costa,4295,5796.2,"$30,011 ","$48,024 ","$53,083 "
Pacifica,San Mateo,38283,3023.5,"$44,886 ","$96,875 ","$113,750 "
Pacific Grove,Monterey,15365,5376.1,"$46,690 ","$70,230 ","$93,302 "
Pajaro,Monterey,2957,3189.9,"$8,779 ","$29,179 ","$29,643 "
Pajaro Dunes,Santa Cruz,269,105,"$59,635 ","$67,250 ","$67,000 "
Palermo,Butte,5419,185.8,"$21,349 ","$42,371 ","$55,612 "
Palmdale,Los Angeles,155810,1470.4,"$19,438 ","$54,921 ","$56,351 "
Palm Desert,Riverside,49953,1863.3,"$39,275 ","$52,053 ","$68,893 "
Palm Springs,Riverside,45827,487.3,"$36,126 ","$45,497 ","$55,320 "
Palo Alto,Santa Clara,65998,2764.5,"$75,257 ","$126,771 ","$167,440 "
Palo Cedro,Shasta,1626,442,"$35,654 ","$81,000 ","$84,643 "
Palos Verdes Estates,Los Angeles,13568,2842.1,"$87,408 ","$171,328 ","$203,241 "
Palo Verde,Imperial,17,28.8,[7],[7],[7]
Panorama Heights,Tulare,38,80,"$22,153 ","$22,500 ","$41,250 "
Paradise,Butte,26246,1432.8,"$24,573 ","$41,482 ","$56,119 "
Paradise,Mono,235,54,"$35,874 ","$48,864 ","$80,000 "
Paradise Park,Santa Cruz,542,1942.7,"$39,762 ","$62,125 ","$66,875 "
Paramount,Los Angeles,54813,11588.4,"$14,168 ","$43,784 ","$43,997 "
Parklawn,Stanislaus,1191,7174.7,"$13,110 ","$42,105 ","$43,606 "
Parksdale,Madera,3114,1719.5,"$8,111 ","$30,069 ","$29,604 "
Parkway,Sacramento,14756,6102.6,"$15,622 ","$33,959 ","$34,570 "
Parkwood,Madera,2879,4124.6,"$10,280 ","$31,908 ","$27,438 "
Parlier,Fresno,14750,6452.3,"$11,039 ","$31,832 ","$30,729 "
Pasadena,Los Angeles,139065,6050.8,"$41,268 ","$70,845 ","$88,600 "
Pasatiempo,Santa Cruz,1016,1149.3,"$98,473 ","$175,536 ","$183,457 "
Paskenta,Tehama,52,48.1,"$15,448 ","$36,250 ","$42,750 "
Patterson,Stanislaus,20736,3482.7,"$18,774 ","$54,422 ","$58,184 "
Patterson Tract,Tulare,2041,1411.5,"$15,433 ","$37,688 ","$39,500 "
Patton Village,Lassen,592,178.2,"$26,548 ","$46,477 ","$47,386 "
Paxton,Plumas,0,0,[7],[7],[7]
Paynes Creek,Tehama,41,12,"$28,341 ","$44,375 ","$93,125 "
Pearsonville,Inyo,23,5.6,"$26,096 ",[7],[7]
Penngrove,Sonoma,2928,727.6,"$49,672 ","$73,430 ","$104,271 "
Penn Valley,Nevada,1599,753.9,"$20,243 ","$43,750 ","$58,553 "
Penryn,Placer,946,518.4,"$37,080 ","$80,213 ","$78,315 "
Perris,Riverside,71377,2273.6,"$13,516 ","$48,591 ","$48,265 "
